published,impact,av-attack-vector,av-attack-complexity,av-privileges-required,av-user-interaction,av-scope,av-confidentiality,av-integrity,av-availability
1988-10-01T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1988-11-11T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1989-01-01T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1989-07-26T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1989-10-26T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1990-01-29T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1990-05-01T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1990-05-09T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1990-08-14T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1990-10-03T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1990-10-03T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1990-10-03T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1990-10-25T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1990-10-31T05:00:00.000,2.9,L,L,Null,Null,Null,P,N,N
1990-12-20T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1990-12-31T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1991-01-15T05:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1991-02-22T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1991-03-27T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1991-03-27T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1991-05-01T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1991-05-14T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1991-05-20T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1991-05-23T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1991-08-23T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1991-09-10T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1991-09-27T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1991-10-22T04:00:00.000,10.0,L,H,Null,Null,Null,C,C,C
1991-12-06T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1991-12-18T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1991-12-31T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1992-02-25T05:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1992-03-01T05:00:00.000,0.0,N,L,Null,Null,Null,N,N,N
1992-03-19T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1992-03-31T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1992-04-27T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1992-05-27T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1992-06-04T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1992-07-21T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1992-07-21T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1992-11-17T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1992-12-10T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1992-12-10T05:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1992-12-30T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1992-12-31T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1993-01-13T05:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1993-02-03T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1993-02-18T05:00:00.000,2.9,L,L,Null,Null,Null,P,N,N
1993-02-24T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1993-04-22T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1993-05-24T04:00:00.000,4.9,N,L,Null,Null,Null,N,P,P
1993-08-09T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1993-09-16T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1993-09-17T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1993-09-17T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1993-09-30T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1993-10-01T04:00:00.000,2.9,L,L,Null,Null,Null,P,N,N
1993-12-16T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1994-01-01T05:00:00.000,6.4,N,M,Null,Null,Null,P,P,P
1994-02-07T05:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1994-02-14T05:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1994-02-24T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1994-03-21T05:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1994-04-20T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1994-05-04T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1994-05-13T04:00:00.000,10.0,L,H,Null,Null,Null,C,C,C
1994-05-18T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1994-05-23T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1994-06-01T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1994-06-03T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1994-06-09T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1994-07-13T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1994-07-20T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1994-08-09T04:00:00.000,2.9,L,L,Null,Null,Null,P,N,N
1994-08-11T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1994-09-21T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
